,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
16,18,2012-01-01,59.0,40.0,50.0,4.0,28.0,40.0,15.0,0.0,0730,1732, ,0.0,0.0,29.98,30.49,9.0,33.0,8.9
17,19,2012-01-01,38.0,25.0,32.0,10.0,26.0,30.0,33.0,0.0,0723,1628,RA SN BR,0.5,0.12,29.06,29.79,14.6,29.0,15.6
18,20,2012-01-01,59.0,41.0,50.0,-1000.0,28.0,40.0,15.0,0.0,-1000,-1000, ,0.0,0.0,29.78,30.48,10.9,33.0,10.8
19,1,2012-01-02,50.0,31.0,41.0,-1000.0,26.0,35.0,24.0,0.0,-1000,-1000, ,-1000.0,0.01,29.44,29.62,9.8,24.0,10.3
20,2,2012-01-02,46.0,28.0,37.0,12.0,24.0,32.0,28.0,0.0,0716,1627, ,-1000.0,0.01,28.51,29.62,12.7,26.0,13.3
21,3,2012-01-02,45.0,24.0,35.0,-1.0,11.0,28.0,30.0,0.0,0735,1721, ,0.0,0.0,29.89,30.63,7.7,32.0,8.2
22,4,2012-01-02,60.0,37.0,49.0,-2.0,26.0,39.0,16.0,0.0,0728,1742, ,0.0,0.0,29.93,30.64,3.7,36.0,4.8
23,6,2012-01-02,60.0,30.0,45.0,-4.0,27.0,38.0,20.0,0.0,0727,1742, ,0.0,0.0,30.09,30.63,9.0,1.0,9.3
24,7,2012-01-02,44.0,26.0,35.0,-1000.0,17.0,29.0,30.0,0.0,-1000,-1000, ,0.0,0.0,29.23,30.66,5.7,34.0,6.9
25,8,2012-01-02,59.0,36.0,-1000.0,-1000.0,29.0,40.0,-1000.0,-1000.0,-1000,-1000, ,-1000.0,0.0,30.25,-1000.0,6.2,36.0,6.7
26,9,2012-01-02,21.0,11.0,16.0,-1000.0,8.0,15.0,49.0,0.0,-1000,-1000,SN UP,-1000.0,-1000.0,29.67,30.44,14.4,32.0,14.7
27,10,2012-01-02,65.0,45.0,55.0,-1000.0,33.0,46.0,10.0,0.0,0723,1738, ,-1000.0,0.0,30.11,30.14,10.2,30.0,11.2
28,11,2012-01-02,63.0,40.0,52.0,-1.0,31.0,44.0,13.0,0.0,0724,1738, ,0.0,0.0,30.1,30.14,10.2,29.0,11.1
29,12,2012-01-02,65.0,47.0,56.0,-1000.0,33.0,46.0,9.0,0.0,-1000,-1000, ,0.0,0.0,30.09,30.14,11.7,30.0,12.7
30,13,2012-01-02,50.0,16.0,33.0,-1000.0,17.0,28.0,32.0,0.0,-1000,-1000, ,-1000.0,0.0,24.55,30.54,6.1,16.0,6.8
31,14,2012-01-02,45.0,26.0,36.0,-1.0,16.0,29.0,29.0,0.0,0739,1729, ,0.0,0.0,29.21,30.65,6.3,35.0,7.4
32,15,2012-01-02,43.0,29.0,36.0,15.0,24.0,32.0,29.0,0.0,0718,1622,BR,0.0,0.02,29.2,29.58,7.1,24.0,8.1
33,16,2012-01-02,50.0,30.0,40.0,-1000.0,26.0,35.0,25.0,0.0,-1000,-1000,RA,-1000.0,0.01,29.48,29.59,9.6,27.0,10.9
34,17,2012-01-02,45.0,22.0,34.0,-1000.0,10.0,28.0,31.0,0.0,-1000,-1000, ,0.0,0.0,29.96,30.66,3.7,33.0,4.8
35,18,2012-01-02,53.0,35.0,44.0,-2.0,23.0,36.0,21.0,0.0,0730,1733, ,0.0,0.0,30.11,30.63,6.7,35.0,6.9
36,19,2012-01-02,25.0,15.0,20.0,-2.0,9.0,17.0,45.0,0.0,0723,1629,SN,-1000.0,-1000.0,29.47,30.2,17.8,31.0,18.1
37,20,2012-01-02,53.0,33.0,43.0,-1000.0,21.0,35.0,22.0,0.0,-1000,-1000, ,0.0,0.0,29.9,30.62,7.9,34.0,8.6
38,1,2012-01-03,32.0,11.0,22.0,-1000.0,4.0,18.0,43.0,0.0,-1000,-1000, ,-1000.0,0.0,29.67,29.87,10.8,31.0,11.6
39,2,2012-01-03,28.0,9.0,19.0,-6.0,4.0,16.0,46.0,0.0,0716,1628, ,0.0,0.0,28.69,29.85,12.3,31.0,12.8
40,3,2012-01-03,55.0,21.0,38.0,2.0,19.0,32.0,27.0,0.0,0735,1721, ,0.0,0.0,29.55,30.34,11.6,17.0,11.8
41,4,2012-01-03,62.0,31.0,47.0,-4.0,26.0,39.0,18.0,0.0,0728,1743, ,0.0,0.0,29.7,30.48,3.1,17.0,4.2
42,6,2012-01-03,62.0,25.0,44.0,-5.0,26.0,37.0,21.0,0.0,0727,1743, ,0.0,0.0,29.88,30.48,5.4,18.0,5.8
43,7,2012-01-03,60.0,27.0,44.0,-1000.0,22.0,35.0,21.0,0.0,-1000,-1000, ,0.0,0.0,28.84,30.3,15.7,19.0,15.9
44,8,2012-01-03,61.0,30.0,-1000.0,-1000.0,28.0,38.0,-1000.0,-1000.0,-1000,-1000, ,-1000.0,0.0,30.12,-1000.0,3.9,16.0,3.9
45,9,2012-01-03,28.0,10.0,19.0,-1000.0,11.0,18.0,46.0,0.0,-1000,-1000, ,-1000.0,0.0,29.26,30.12,8.9,16.0,9.2
46,10,2012-01-03,48.0,34.0,41.0,-1000.0,11.0,31.0,24.0,0.0,0723,1739, ,-1000.0,0.0,30.27,30.33,11.8,31.0,12.1
47,11,2012-01-03,44.0,25.0,35.0,-18.0,12.0,28.0,30.0,0.0,0724,1738, ,0.0,0.0,30.26,30.33,9.3,31.0,9.7
48,12,2012-01-03,47.0,34.0,41.0,-1000.0,12.0,30.0,24.0,0.0,-1000,-1000, ,0.0,0.0,30.25,30.33,12.9,32.0,13.2
49,13,2012-01-03,55.0,31.0,43.0,-1000.0,16.0,33.0,22.0,0.0,-1000,-1000, ,-1000.0,0.0,24.4,30.23,2.9,21.0,6.3
50,14,2012-01-03,60.0,24.0,42.0,5.0,23.0,33.0,23.0,0.0,0740,1730, ,0.0,0.0,28.84,30.3,12.4,18.0,12.7
51,15,2012-01-03,30.0,5.0,18.0,-3.0,2.0,14.0,47.0,0.0,0718,1623, ,0.0,0.0,29.44,29.87,13.1,31.0,13.7
52,16,2012-01-03,32.0,11.0,22.0,-1000.0,6.0,18.0,43.0,0.0,-1000,-1000, ,-1000.0,0.0,29.7,29.84,10.2,31.0,10.9
53,17,2012-01-03,55.0,19.0,37.0,-1000.0,18.0,31.0,28.0,0.0,-1000,-1000, ,0.0,0.0,29.61,30.36,6.9,18.0,7.0
54,18,2012-01-03,59.0,30.0,45.0,0.0,25.0,37.0,20.0,0.0,0730,1734, ,0.0,0.0,29.84,30.41,8.8,17.0,9.1
55,19,2012-01-03,26.0,10.0,18.0,-3.0,5.0,15.0,47.0,0.0,0723,1630, ,0.0,0.0,29.43,30.26,5.5,23.0,9.2
56,20,2012-01-03,59.0,30.0,45.0,-1000.0,23.0,37.0,20.0,0.0,-1000,-1000, ,0.0,0.0,29.63,30.41,7.9,17.0,8.5
57,1,2012-01-04,28.0,9.0,19.0,-1000.0,-1.0,14.0,46.0,0.0,-1000,-1000, ,-1000.0,0.0,29.86,30.03,6.3,27.0,8.3
58,2,2012-01-04,21.0,5.0,13.0,-11.0,0.0,11.0,52.0,0.0,0716,1629, ,0.0,0.0,28.87,30.01,10.1,27.0,11.7
59,3,2012-01-04,63.0,31.0,47.0,11.0,26.0,37.0,18.0,0.0,0735,1722, ,0.0,0.0,29.53,30.27,2.5,31.0,4.9
60,4,2012-01-04,73.0,41.0,57.0,6.0,39.0,47.0,8.0,0.0,0728,1744, ,0.0,0.0,29.55,30.28,1.3,35.0,2.2
61,6,2012-01-04,71.0,31.0,51.0,2.0,41.0,45.0,14.0,0.0,0728,1744,BR,0.0,0.0,29.72,30.28,0.8,22.0,4.7
62,7,2012-01-04,58.0,32.0,45.0,-1000.0,28.0,37.0,20.0,0.0,-1000,-1000, ,0.0,0.0,28.9,30.31,5.0,33.0,7.4
63,8,2012-01-04,72.0,37.0,-1000.0,-1000.0,45.0,49.0,-1000.0,-1000.0,-1000,-1000, ,-1000.0,0.0,29.9,-1000.0,1.4,24.0,2.6
64,9,2012-01-04,39.0,20.0,30.0,-1000.0,22.0,26.0,35.0,0.0,-1000,-1000,BR,-1000.0,0.0,29.26,30.06,2.8,28.0,5.2
65,10,2012-01-04,53.0,32.0,43.0,-1000.0,16.0,33.0,22.0,0.0,0724,1740, ,-1000.0,0.0,30.35,30.38,3.0,29.0,5.8
66,11,2012-01-04,54.0,22.0,38.0,-15.0,15.0,29.0,27.0,0.0,0724,1739, ,0.0,0.0,30.34,30.37,2.3,27.0,3.1
67,12,2012-01-04,53.0,31.0,42.0,-1000.0,17.0,32.0,23.0,0.0,-1000,-1000, ,0.0,0.0,30.34,30.38,2.7,32.0,4.2
68,13,2012-01-04,58.0,27.0,43.0,-1000.0,16.0,32.0,22.0,0.0,-1000,-1000, ,-1000.0,0.0,24.49,30.36,5.5,19.0,6.1
69,14,2012-01-04,58.0,32.0,45.0,9.0,27.0,37.0,20.0,0.0,0740,1731, ,0.0,0.0,28.89,30.29,6.1,34.0,7.6
70,15,2012-01-04,23.0,3.0,13.0,-8.0,-1.0,11.0,52.0,0.0,0718,1624, ,0.0,0.0,29.63,30.02,5.1,30.0,6.4
71,16,2012-01-04,27.0,8.0,18.0,-1000.0,-1.0,14.0,47.0,0.0,-1000,-1000, ,-1000.0,0.0,29.9,30.0,7.9,28.0,9.9
72,17,2012-01-04,63.0,28.0,46.0,-1000.0,25.0,36.0,19.0,0.0,-1000,-1000,RA,0.0,-1000.0,29.59,30.29,2.1,36.0,3.3
73,18,2012-01-04,62.0,37.0,50.0,5.0,33.0,41.0,15.0,0.0,0730,1734, ,0.0,0.0,29.75,30.28,0.8,15.0,5.5
74,19,2012-01-04,34.0,24.0,29.0,8.0,17.0,25.0,36.0,0.0,0723,1631, ,0.0,0.0,29.21,30.0,7.9,27.0,9.7
75,20,2012-01-04,62.0,38.0,50.0,-1000.0,32.0,41.0,15.0,0.0,-1000,-1000, ,0.0,0.0,29.54,30.27,1.1,32.0,4.9
76,1,2012-01-05,38.0,25.0,32.0,-1000.0,13.0,25.0,33.0,0.0,-1000,-1000, ,-1000.0,0.0,29.67,29.84,6.9,25.0,7.8
77,2,2012-01-05,31.0,20.0,26.0,2.0,12.0,21.0,39.0,0.0,0716,1630, ,0.0,0.0,28.7,29.84,10.9,26.0,11.3
78,3,2012-01-05,68.0,31.0,50.0,14.0,28.0,41.0,15.0,0.0,0735,1723, ,0.0,0.0,29.35,30.11,7.3,19.0,7.6
79,4,2012-01-05,70.0,44.0,57.0,6.0,41.0,49.0,8.0,0.0,0728,1745, ,0.0,0.0,29.51,30.24,0.4,31.0,1.8
80,6,2012-01-05,71.0,38.0,55.0,6.0,43.0,50.0,10.0,0.0,0728,1745, ,0.0,0.0,29.68,30.24,0.3,25.0,2.3
81,7,2012-01-05,66.0,28.0,47.0,-1000.0,29.0,40.0,18.0,0.0,-1000,-1000, ,0.0,0.0,28.71,30.13,12.2,20.0,12.4
82,8,2012-01-05,70.0,46.0,-1000.0,-1000.0,46.0,52.0,-1000.0,-1000.0,-1000,-1000, ,-1000.0,0.0,29.87,-1000.0,0.9,33.0,1.0
83,9,2012-01-05,46.0,21.0,34.0,-1000.0,28.0,32.0,31.0,0.0,-1000,-1000,BR,0.0,0.0,28.95,29.73,0.9,17.0,2.1
84,10,2012-01-05,68.0,36.0,52.0,-1000.0,37.0,45.0,13.0,0.0,0724,1740, ,-1000.0,0.0,30.2,30.21,8.0,27.0,8.3
85,11,2012-01-05,68.0,31.0,50.0,-3.0,35.0,41.0,15.0,0.0,0724,1740, ,0.0,0.0,-1000.0,30.21,6.6,27.0,-1000.0
86,12,2012-01-05,68.0,32.0,50.0,-1000.0,38.0,44.0,15.0,0.0,-1000,-1000, ,0.0,0.0,30.18,30.22,5.0,28.0,5.5
87,13,2012-01-05,66.0,35.0,51.0,-1000.0,21.0,37.0,14.0,0.0,-1000,-1000, ,-1000.0,0.0,24.26,30.04,4.2,21.0,5.0
88,14,2012-01-05,67.0,29.0,48.0,12.0,28.0,38.0,17.0,0.0,0740,1732, ,0.0,0.0,28.71,30.14,9.8,21.0,10.3
89,15,2012-01-05,36.0,17.0,27.0,6.0,13.0,22.0,38.0,0.0,0718,1625, ,0.0,0.0,29.42,29.82,3.5,29.0,5.8
90,16,2012-01-05,38.0,24.0,31.0,-1000.0,13.0,25.0,34.0,0.0,-1000,-1000, ,-1000.0,0.0,29.7,29.82,6.9,27.0,8.1
91,17,2012-01-05,68.0,26.0,47.0,-1000.0,26.0,38.0,18.0,0.0,-1000,-1000, ,0.0,0.0,29.42,30.14,4.3,20.0,4.4
92,18,2012-01-05,66.0,35.0,51.0,6.0,33.0,42.0,14.0,0.0,0731,1735, ,0.0,0.0,29.66,30.21,2.7,18.0,2.9
93,19,2012-01-05,47.0,26.0,37.0,16.0,26.0,33.0,28.0,0.0,0723,1631, ,0.0,0.0,29.02,29.83,8.4,23.0,8.5
94,20,2012-01-05,67.0,36.0,52.0,-1000.0,33.0,43.0,13.0,0.0,-1000,-1000, ,0.0,0.0,29.46,30.21,2.1,23.0,4.4
95,1,2012-01-06,46.0,25.0,36.0,-1000.0,21.0,29.0,29.0,0.0,-1000,-1000,SN,-1000.0,-1000.0,29.68,29.84,0.3,1.0,2.4
96,2,2012-01-06,47.0,21.0,34.0,10.0,23.0,30.0,31.0,0.0,0716,1630,SN,0.2,0.01,28.71,29.81,6.4,22.0,6.8
97,3,2012-01-06,69.0,40.0,55.0,19.0,35.0,44.0,10.0,0.0,0735,1724, ,0.0,0.0,29.16,29.89,6.1,18.0,9.6
98,4,2012-01-06,74.0,55.0,65.0,14.0,52.0,-1000.0,0.0,0.0,0728,1745,BR,0.0,0.0,29.26,-1000.0,4.2,19.0,5.4
99,6,2012-01-06,75.0,43.0,-1000.0,-1000.0,54.0,57.0,-1000.0,-1000.0,0728,1745,BR,0.0,-1000.0,29.44,29.99,10.6,19.0,10.8
100,7,2012-01-06,67.0,41.0,54.0,-1000.0,31.0,42.0,11.0,0.0,-1000,-1000, ,0.0,0.0,28.51,29.89,7.3,22.0,14.4
101,8,2012-01-06,73.0,57.0,-1000.0,-1000.0,53.0,58.0,-1000.0,-1000.0,-1000,-1000,BR HZ,-1000.0,0.0,29.65,-1000.0,7.7,20.0,8.0
102,9,2012-01-06,47.0,34.0,41.0,-1000.0,28.0,36.0,24.0,0.0,-1000,-1000, ,0.0,0.0,29.0,29.75,9.3,28.0,9.5
103,10,2012-01-06,72.0,44.0,58.0,-1000.0,44.0,50.0,7.0,0.0,0724,1741,FG+ BR,-1000.0,0.0,30.14,30.16,2.8,21.0,4.4
104,11,2012-01-06,71.0,36.0,54.0,1.0,40.0,46.0,11.0,0.0,0725,1741,FG+ BR,0.0,0.0,30.12,30.16,1.8,25.0,2.1
105,12,2012-01-06,70.0,38.0,54.0,-1000.0,43.0,48.0,11.0,0.0,-1000,-1000,FG+ BR,0.0,0.0,30.12,30.17,2.4,24.0,2.6
106,13,2012-01-06,45.0,25.0,35.0,-1000.0,22.0,31.0,30.0,0.0,-1000,-1000, ,-1000.0,0.0,24.21,30.01,3.6,12.0,6.2
107,14,2012-01-06,67.0,37.0,52.0,16.0,31.0,42.0,13.0,0.0,0740,1733, ,0.0,0.0,28.5,29.89,5.1,21.0,12.2
108,15,2012-01-06,33.0,15.0,24.0,4.0,19.0,23.0,41.0,0.0,0718,1626,SN,0.2,0.01,29.46,29.83,0.6,35.0,1.8
109,16,2012-01-06,45.0,25.0,35.0,-1000.0,24.0,30.0,30.0,0.0,-1000,-1000, ,-1000.0,-1000.0,29.72,29.82,1.6,19.0,2.6
110,17,2012-01-06,69.0,34.0,52.0,-1000.0,34.0,43.0,13.0,0.0,-1000,-1000, ,0.0,0.0,29.23,29.92,3.4,19.0,7.5
111,18,2012-01-06,73.0,48.0,61.0,16.0,46.0,53.0,4.0,0.0,0731,1736, ,0.0,0.0,29.39,29.93,8.6,19.0,9.1
112,19,2012-01-06,51.0,38.0,45.0,24.0,29.0,38.0,20.0,0.0,0723,1632, ,0.0,0.0,28.95,29.71,7.2,27.0,7.9
113,20,2012-01-06,74.0,50.0,62.0,-1000.0,47.0,54.0,3.0,0.0,-1000,-1000, ,0.0,0.0,29.19,29.93,7.0,19.0,8.0
114,1,2012-01-07,57.0,28.0,43.0,-1000.0,28.0,36.0,22.0,0.0,-1000,-1000, ,-1000.0,0.0,29.57,29.76,3.0,26.0,3.6
115,2,2012-01-07,56.0,37.0,47.0,23.0,29.0,38.0,18.0,0.0,0716,1631, ,0.0,0.0,28.63,29.75,8.9,26.0,9.6
116,3,2012-01-07,58.0,36.0,47.0,11.0,26.0,39.0,18.0,0.0,0735,1725, ,0.0,0.0,29.36,30.06,8.2,1.0,8.9
117,4,2012-01-07,69.0,49.0,59.0,8.0,44.0,-1000.0,6.0,0.0,0729,1746,FG+ BR,0.0,0.0,-1000.0,-1000.0,1.0,30.0,2.3
118,6,2012-01-07,70.0,46.0,58.0,9.0,45.0,51.0,7.0,0.0,0728,1746,FG+ BR,0.0,0.0,29.47,30.0,1.6,33.0,3.4
119,7,2012-01-07,58.0,33.0,46.0,-1000.0,25.0,37.0,19.0,0.0,-1000,-1000, ,0.0,0.0,28.69,30.06,9.8,2.0,10.4
120,8,2012-01-07,68.0,54.0,-1000.0,-1000.0,51.0,54.0,-1000.0,-1000.0,-1000,-1000,FG+ FG BR,-1000.0,0.0,29.63,-1000.0,0.4,31.0,1.7
121,9,2012-01-07,38.0,22.0,30.0,-1000.0,21.0,26.0,35.0,0.0,-1000,-1000, ,-1000.0,0.0,29.36,30.11,5.3,30.0,7.4
122,10,2012-01-07,71.0,49.0,60.0,-1000.0,51.0,54.0,5.0,0.0,0724,1742,FG+ FG BR,-1000.0,0.01,30.11,30.15,1.9,20.0,3.0
123,11,2012-01-07,73.0,42.0,58.0,5.0,48.0,51.0,7.0,0.0,0725,1742,FG+ FG BR,0.0,-1000.0,30.1,30.15,2.0,27.0,2.3
124,12,2012-01-07,71.0,43.0,57.0,-1000.0,51.0,54.0,8.0,0.0,-1000,-1000,FG+ FG BR,0.0,0.01,30.09,30.15,1.9,25.0,2.4
125,13,2012-01-07,39.0,22.0,31.0,-1000.0,23.0,27.0,34.0,0.0,-1000,-1000,SN FG+ FZFG BR,-1000.0,0.16,24.19,30.07,4.6,33.0,5.9
126,14,2012-01-07,59.0,38.0,49.0,13.0,24.0,38.0,16.0,0.0,0740,1734, ,0.0,0.0,28.66,30.05,11.0,3.0,11.8
127,15,2012-01-07,44.0,22.0,33.0,13.0,25.0,29.0,32.0,0.0,0718,1627, ,0.0,0.0,29.35,29.75,0.6,29.0,0.9
128,16,2012-01-07,58.0,25.0,42.0,-1000.0,29.0,36.0,23.0,0.0,-1000,-1000, ,-1000.0,0.0,29.6,29.73,2.8,29.0,3.7
129,17,2012-01-07,60.0,40.0,50.0,-1000.0,25.0,39.0,15.0,0.0,-1000,-1000, ,0.0,0.0,29.41,30.08,9.2,2.0,9.4
130,18,2012-01-07,61.0,44.0,53.0,8.0,41.0,47.0,12.0,0.0,0731,1737, ,0.0,0.0,29.47,29.98,4.3,31.0,6.4
131,19,2012-01-07,41.0,29.0,35.0,14.0,23.0,31.0,30.0,0.0,0722,1633, ,0.0,0.0,29.32,30.03,7.4,30.0,7.7
132,20,2012-01-07,61.0,45.0,53.0,-1000.0,41.0,47.0,12.0,0.0,-1000,-1000, ,0.0,0.0,29.27,29.97,5.9,29.0,8.1
133,1,2012-01-08,45.0,27.0,36.0,-1000.0,22.0,32.0,29.0,0.0,-1000,-1000, ,-1000.0,0.0,29.9,30.11,5.1,30.0,6.6
134,2,2012-01-08,39.0,25.0,32.0,8.0,20.0,29.0,33.0,0.0,0716,1633, ,0.0,0.0,28.95,30.11,10.8,29.0,11.0
135,3,2012-01-08,53.0,33.0,43.0,7.0,28.0,38.0,22.0,0.0,0735,1726, ,0.0,0.0,29.45,30.16,8.3,36.0,8.4
136,4,2012-01-08,60.0,47.0,54.0,3.0,48.0,-1000.0,11.0,0.0,0729,1747,RA HZ,0.0,0.05,29.31,-1000.0,2.4,3.0,3.6
137,6,2012-01-08,61.0,42.0,52.0,3.0,49.0,52.0,13.0,0.0,0728,1747,RA BR,0.0,0.01,29.47,30.0,7.7,2.0,8.1
138,7,2012-01-08,51.0,39.0,45.0,-1000.0,26.0,37.0,20.0,0.0,-1000,-1000, ,0.0,0.0,28.78,30.16,10.6,1.0,10.8
139,8,2012-01-08,72.0,52.0,-1000.0,-1000.0,55.0,58.0,-1000.0,-1000.0,-1000,-1000,RA BR HZ,-1000.0,0.03,29.64,-1000.0,1.1,36.0,1.2
140,9,2012-01-08,41.0,19.0,30.0,-1000.0,23.0,27.0,35.0,0.0,-1000,-1000,BR,-1000.0,0.0,29.42,30.22,1.1,19.0,1.9
141,10,2012-01-08,75.0,49.0,62.0,-1000.0,51.0,55.0,3.0,0.0,0724,1743, ,-1000.0,0.0,30.17,30.21,3.0,14.0,3.1
142,11,2012-01-08,75.0,42.0,59.0,6.0,49.0,53.0,6.0,0.0,0725,1742,BR,0.0,0.0,30.17,30.21,2.0,15.0,2.5
143,12,2012-01-08,74.0,45.0,60.0,-1000.0,51.0,54.0,5.0,0.0,-1000,-1000,FG BR,0.0,0.0,30.16,30.22,1.1,14.0,1.5
144,13,2012-01-08,33.0,11.0,22.0,-1000.0,15.0,20.0,43.0,0.0,-1000,-1000, ,-1000.0,0.0,24.32,30.29,3.8,18.0,4.6
145,14,2012-01-08,51.0,42.0,47.0,11.0,26.0,38.0,18.0,0.0,0740,1735, ,0.0,0.0,28.76,30.14,10.5,2.0,10.8
146,15,2012-01-08,41.0,21.0,31.0,11.0,20.0,27.0,34.0,0.0,0717,1628, ,0.0,0.0,29.67,30.11,7.4,31.0,7.9
147,16,2012-01-08,43.0,27.0,35.0,-1000.0,22.0,32.0,30.0,0.0,-1000,-1000, ,-1000.0,0.0,29.93,30.08,6.0,30.0,6.8
148,17,2012-01-08,53.0,38.0,46.0,-1000.0,27.0,38.0,19.0,0.0,-1000,-1000, ,0.0,0.0,29.5,30.18,7.2,1.0,7.6
149,18,2012-01-08,58.0,40.0,49.0,4.0,45.0,48.0,16.0,0.0,0731,1738,TSRA FG+ BR HZ,0.0,0.02,29.56,30.07,3.8,2.0,4.1
150,19,2012-01-08,41.0,19.0,30.0,9.0,21.0,28.0,35.0,0.0,0722,1635, ,0.0,0.0,29.53,30.29,4.4,23.0,4.5
151,20,2012-01-08,59.0,39.0,49.0,-1000.0,44.0,47.0,16.0,0.0,-1000,-1000,RA BR HZ VCTS,0.0,0.13,29.34,30.06,4.7,1.0,5.8
152,1,2012-01-09,39.0,23.0,31.0,-1000.0,12.0,25.0,34.0,0.0,-1000,-1000, ,-1000.0,0.0,30.06,30.2,2.3,23.0,4.0
153,2,2012-01-09,38.0,21.0,30.0,6.0,12.0,-1000.0,35.0,0.0,0716,1634, ,0.0,0.0,29.05,-1000.0,6.9,25.0,7.9
154,3,2012-01-09,54.0,26.0,40.0,4.0,27.0,35.0,25.0,0.0,0735,1727, ,0.0,0.0,29.46,30.2,6.6,35.0,7.2
155,4,2012-01-09,57.0,42.0,50.0,-1.0,47.0,48.0,15.0,0.0,0729,1748,RA BR,0.0,0.87,29.33,30.02,6.6,34.0,8.2
156,6,2012-01-09,58.0,43.0,51.0,2.0,48.0,49.0,14.0,0.0,0728,1748,TSRA RA DZ BR,0.0,0.62,29.48,30.0,11.2,35.0,12.5
157,7,2012-01-09,52.0,27.0,40.0,-1000.0,26.0,34.0,25.0,0.0,-1000,-1000, ,0.0,0.0,28.79,30.21,8.6,36.0,8.8
158,8,2012-01-09,68.0,48.0,-1000.0,-1000.0,50.0,52.0,-1000.0,-1000.0,-1000,-1000,TSRA RA DZ BR VCTS,-1000.0,0.62,29.6,-1000.0,8.4,34.0,9.4
159,9,2012-01-09,49.0,27.0,38.0,-1000.0,25.0,33.0,27.0,0.0,-1000,-1000, ,-1000.0,0.0,29.17,29.96,6.8,25.0,7.5
160,10,2012-01-09,75.0,52.0,64.0,-1000.0,54.0,58.0,1.0,0.0,0724,1744,BR,-1000.0,0.0,30.14,30.17,2.2,16.0,2.4
161,11,2012-01-09,76.0,46.0,61.0,8.0,51.0,54.0,4.0,0.0,0725,1743,FG BR,0.0,0.0,30.14,30.17,1.6,25.0,1.8
162,12,2012-01-09,75.0,49.0,62.0,-1000.0,53.0,56.0,3.0,0.0,-1000,-1000,FG+ BR,0.0,0.0,30.13,30.17,2.1,22.0,2.3
163,13,2012-01-09,47.0,17.0,32.0,-1000.0,19.0,27.0,33.0,0.0,-1000,-1000, ,-1000.0,0.0,24.37,30.31,3.4,18.0,3.9
