,date,store_nbr,item_nbr,units,grain,day,wday,year,month,week,station_nbr,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,codesum_rev,extreme_weather,mild_weather
10,2012-01-11,15,45,73,15_45,11,2,2012,1,2,13,41.0,3.0,51.76983349657199,-503.8253585386188,12.0,16.0,15.385896180215475,2.1557296767874634,-1000,-1000,-201.7534540748467,0.01,24.24,30.15,5.3,4.0,8.8,"['SN', 'FZ', 'FG', 'BR']",0,0
11,2012-01-12,15,45,77,15_45,12,3,2012,1,2,13,40.0,-1.0,20.0,-503.8253585386188,3.0,18.0,45.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.24,30.23,3.2,25.0,6.5,"['SN', 'BR']",0,0
12,2012-01-13,15,45,139,15_45,13,4,2012,1,2,13,44.0,19.0,32.0,-503.8253585386188,7.0,25.0,33.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.23,30.11,7.4,26.0,8.6,"['SN', 'BR']",0,0
13,2012-01-14,15,45,159,15_45,14,5,2012,1,2,13,53.0,20.0,37.0,-503.8253585386188,12.0,30.0,28.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.24,30.08,8.0,20.0,9.4,"['SN', 'BR']",0,0
14,2012-01-15,15,45,172,15_45,15,6,2012,1,2,13,54.0,33.0,44.0,-503.8253585386188,12.0,33.0,21.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.01,29.75,11.1,22.0,12.1,"['SN', 'BR']",0,0
15,2012-01-16,15,45,112,15_45,16,0,2012,1,3,13,41.0,16.0,29.0,-503.8253585386188,17.0,24.0,36.0,0.0,-1000,-1000,-201.7534540748467,0.02,23.98,29.76,1.5,32.0,7.1,"['SN', 'BR']",0,0
16,2012-01-17,15,45,88,15_45,17,1,2012,1,3,13,27.0,5.0,16.0,-503.8253585386188,7.0,14.0,49.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,24.23,30.22,7.2,13.0,8.0,['BR'],0,0
17,2012-01-18,15,45,106,15_45,18,2,2012,1,3,13,45.0,14.0,51.76983349657199,-503.8253585386188,14.0,28.0,15.385896180215475,2.1557296767874634,-1000,-1000,-201.7534540748467,0.0,24.05,29.9,4.7,19.0,10.0,"['SN', 'BR']",0,0
18,2012-01-19,15,45,93,15_45,19,3,2012,1,3,13,60.0,33.0,47.0,-503.8253585386188,25.0,38.0,18.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.95,29.66,2.2,13.0,7.5,"['SN', 'BR']",0,0
19,2012-01-20,15,45,105,15_45,20,4,2012,1,3,13,53.0,34.0,44.0,-503.8253585386188,23.0,35.0,21.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.06,29.76,2.3,29.0,9.1,"['SN', 'BR']",0,0
20,2012-01-21,15,45,179,15_45,21,5,2012,1,3,13,64.0,34.0,49.0,-503.8253585386188,23.0,37.0,16.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,23.75,29.44,13.9,20.0,16.5,['SN'],0,0
21,2012-01-22,15,45,176,15_45,22,6,2012,1,3,13,45.0,26.0,36.0,-503.8253585386188,12.0,29.0,29.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,23.93,29.6,10.5,31.0,14.6,"['SN', 'BR']",0,0
22,2012-01-23,15,45,96,15_45,23,0,2012,1,4,13,48.0,25.0,37.0,-503.8253585386188,14.0,28.0,28.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.05,29.85,6.8,15.0,8.2,"['SN', 'BR']",0,0
23,2012-01-24,15,45,85,15_45,24,1,2012,1,4,13,35.0,22.0,29.0,-503.8253585386188,23.0,28.0,36.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,24.24,30.09,2.5,33.0,4.6,"['SN', 'BR']",0,0
24,2012-01-25,15,45,79,15_45,25,2,2012,1,4,13,61.0,21.0,41.0,-503.8253585386188,16.0,32.0,24.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.24,30.08,8.2,28.0,12.5,"['SN', 'BR']",0,0
25,2012-01-26,15,45,85,15_45,26,3,2012,1,4,13,54.0,32.0,43.0,-503.8253585386188,17.0,33.0,22.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.16,29.91,1.8,23.0,8.4,"['SN', 'BR']",0,0
26,2012-01-27,15,45,112,15_45,27,4,2012,1,4,13,43.0,18.0,31.0,-503.8253585386188,17.0,25.0,34.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,24.29,30.14,3.3,36.0,8.6,"['SN', 'BR']",0,0
27,2012-01-28,15,45,147,15_45,28,5,2012,1,4,13,45.0,15.0,30.0,-503.8253585386188,5.0,22.0,35.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.36,30.32,2.6,19.0,5.7,"['SN', 'BR']",0,0
28,2012-01-29,15,45,155,15_45,29,6,2012,1,4,13,53.0,26.0,40.0,-503.8253585386188,15.0,32.0,25.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.31,30.16,7.0,25.0,8.9,"['SN', 'BR']",0,0
29,2012-01-30,15,45,114,15_45,30,0,2012,1,5,13,59.0,31.0,45.0,-503.8253585386188,15.0,33.0,20.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.1,29.85,5.4,19.0,7.9,"['SN', 'BR']",0,0
30,2012-01-31,15,45,105,15_45,31,1,2012,1,5,13,51.0,25.0,38.0,-503.8253585386188,15.0,30.0,27.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.21,30.0,3.1,16.0,5.4,"['SN', 'BR']",0,0
31,2012-02-01,15,45,120,15_45,1,2,2012,2,5,13,52.0,25.0,39.0,-503.8253585386188,11.0,28.0,26.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.27,30.12,5.9,17.0,7.5,"['SN', 'BR']",0,0
32,2012-02-02,15,45,163,15_45,2,3,2012,2,5,13,42.0,29.0,36.0,-503.8253585386188,17.0,28.0,29.0,0.0,-1000,-1000,-201.7534540748467,0.04,24.16,30.0,5.8,34.0,9.5,"['SN', 'BR']",0,0
33,2012-02-03,15,45,85,15_45,3,4,2012,2,5,13,30.0,24.0,27.0,-503.8253585386188,24.0,25.0,38.0,0.0,-1000,-1000,-201.7534540748467,1.33,24.39,30.33,15.8,35.0,15.9,"['SN', 'FZ', 'FG', 'BR', 'BL', 'SN']",0,0
34,2012-02-04,15,45,147,15_45,4,5,2012,2,5,13,30.0,11.0,21.0,-503.8253585386188,18.0,21.0,44.0,0.0,-1000,-1000,-201.7534540748467,0.01,24.51,30.54,1.3,35.0,5.1,"['SN', 'BR']",0,0
35,2012-02-05,15,45,129,15_45,5,6,2012,2,5,13,35.0,5.0,20.0,-503.8253585386188,11.0,16.0,45.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.39,30.45,2.5,17.0,4.1,"['SN', 'BR']",0,0
36,2012-02-06,15,45,100,15_45,6,0,2012,2,6,13,33.0,11.0,22.0,-503.8253585386188,14.0,21.0,43.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,24.3,30.27,3.8,33.0,6.2,"['SN', 'BR']",0,0
37,2012-02-07,15,45,78,15_45,7,1,2012,2,6,13,24.0,12.0,18.0,-503.8253585386188,15.0,18.0,47.0,0.0,-1000,-1000,-201.7534540748467,0.01,24.43,30.45,1.5,6.0,3.5,"['SN', 'BR']",0,0
38,2012-02-08,15,45,106,15_45,8,2,2012,2,6,13,43.0,9.0,26.0,-503.8253585386188,15.0,21.0,39.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.29,30.28,0.6,24.0,3.9,"['SN', 'BR']",0,0
39,2012-02-09,15,45,107,15_45,9,3,2012,2,6,13,41.0,20.0,31.0,-503.8253585386188,18.0,26.0,34.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,24.29,30.21,2.6,15.0,5.6,"['SN', 'BR']",0,0
40,2012-02-10,15,45,140,15_45,10,4,2012,2,6,13,40.0,15.0,28.0,-503.8253585386188,17.0,23.0,37.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,24.31,30.24,1.4,11.0,6.3,"['SN', 'BR']",0,0
41,2012-02-11,15,45,136,15_45,11,5,2012,2,6,13,20.0,9.0,15.0,-503.8253585386188,10.0,13.0,50.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,24.37,30.41,3.3,33.0,4.2,"['SN', 'BR']",0,0
42,2012-02-12,15,45,174,15_45,12,6,2012,2,6,13,31.0,8.0,20.0,-503.8253585386188,13.0,18.0,45.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.98,29.95,1.4,35.0,3.4,['BR'],0,0
43,2012-02-13,15,45,129,15_45,13,0,2012,2,7,13,38.0,24.0,31.0,-503.8253585386188,24.0,29.0,34.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.95,29.77,3.0,13.0,5.0,"['SN', 'BR']",0,0
44,2012-02-14,15,45,61,15_45,14,1,2012,2,7,13,47.0,19.0,33.0,-503.8253585386188,19.0,27.0,32.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.95,29.77,1.8,21.0,5.3,"['SN', 'BR']",0,0
45,2012-02-15,15,45,92,15_45,15,2,2012,2,7,13,33.0,17.0,25.0,-503.8253585386188,19.0,24.0,40.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.17,30.05,2.8,14.0,4.8,['BR'],0,0
46,2012-02-16,15,45,76,15_45,16,3,2012,2,7,13,44.0,16.0,30.0,-503.8253585386188,17.0,25.0,35.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.27,30.21,4.0,16.0,5.8,"['SN', 'BR']",0,0
47,2012-02-17,15,45,136,15_45,17,4,2012,2,7,13,43.0,16.0,30.0,-503.8253585386188,13.0,24.0,35.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.26,30.15,2.0,12.0,6.1,"['SN', 'BR']",0,0
48,2012-02-18,15,45,134,15_45,18,5,2012,2,7,13,40.0,14.0,27.0,-503.8253585386188,17.0,25.0,38.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.14,30.06,6.5,15.0,6.9,"['SN', 'BR']",0,0
49,2012-02-19,15,45,178,15_45,19,6,2012,2,7,13,48.0,27.0,38.0,-503.8253585386188,17.0,28.0,27.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.89,29.69,2.7,24.0,7.6,"['SN', 'BR']",0,0
50,2012-02-20,15,45,100,15_45,20,0,2012,2,8,13,37.0,25.0,31.0,-503.8253585386188,11.0,24.0,34.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,24.0,29.82,8.4,33.0,11.2,"['SN', 'BR']",0,0
51,2012-02-21,15,45,113,15_45,21,1,2012,2,8,13,46.0,21.0,34.0,-503.8253585386188,14.0,28.0,31.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.03,29.86,6.0,28.0,9.9,"['SN', 'BR']",0,0
52,2012-02-22,15,45,81,15_45,22,2,2012,2,8,13,57.0,38.0,48.0,-503.8253585386188,22.0,37.0,17.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.85,29.56,4.2,24.0,9.8,"['SN', 'BR']",0,0
53,2012-02-23,15,45,53,15_45,23,3,2012,2,8,13,48.0,13.0,31.0,-503.8253585386188,19.0,24.0,34.0,0.0,-1000,-1000,-201.7534540748467,0.3,24.08,29.86,8.0,35.0,11.5,"['SN', 'FZ', 'FG', 'BR', 'BL', 'SN']",0,0
54,2012-02-24,15,45,149,15_45,24,4,2012,2,8,13,34.0,10.0,22.0,-503.8253585386188,6.0,18.0,43.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.29,30.26,8.0,17.0,9.0,"['SN', 'BR']",0,0
55,2012-02-25,15,45,128,15_45,25,5,2012,2,8,13,57.0,21.0,39.0,-503.8253585386188,12.0,30.0,26.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.98,29.78,10.2,21.0,14.6,"['SN', 'BR']",0,0
56,2012-02-26,15,45,178,15_45,26,6,2012,2,8,13,39.0,20.0,30.0,-503.8253585386188,7.0,23.0,35.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.19,30.02,1.8,6.0,10.5,"['SN', 'BR']",0,0
57,2012-02-27,15,45,104,15_45,27,0,2012,2,9,13,44.0,25.0,35.0,-503.8253585386188,14.0,27.0,30.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.14,30.03,22.6,16.0,22.9,"['SN', 'BR']",0,0
58,2012-02-28,15,45,102,15_45,28,1,2012,2,9,13,44.0,28.0,36.0,-503.8253585386188,22.0,30.0,29.0,0.0,-1000,-1000,-201.7534540748467,0.04,23.87,29.64,4.9,23.0,12.9,"['SN', 'BR']",0,0
59,2012-02-29,15,45,91,15_45,29,2,2012,2,9,13,53.0,24.0,39.0,-503.8253585386188,12.0,29.0,26.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.02,29.81,3.2,24.0,8.5,"['SN', 'BR']",0,0
60,2012-03-01,15,45,116,15_45,1,3,2012,3,9,13,40.0,24.0,32.0,-503.8253585386188,19.0,27.0,33.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,23.94,29.72,4.5,15.0,10.8,"['SN', 'BR']",0,0
61,2012-03-02,15,45,105,15_45,2,4,2012,3,9,13,32.0,17.0,25.0,-503.8253585386188,13.0,20.0,40.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,24.13,30.03,0.2,25.0,5.8,"['SN', 'BR']",0,0
62,2012-03-03,15,45,170,15_45,3,5,2012,3,9,13,44.0,16.0,30.0,-503.8253585386188,6.0,25.0,35.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.2,30.09,14.3,30.0,15.4,"['SN', 'BR']",0,0
63,2012-03-04,15,45,166,15_45,4,6,2012,3,9,13,60.0,32.0,46.0,-503.8253585386188,14.0,34.0,19.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.29,30.07,9.7,29.0,11.6,"['SN', 'BR']",0,0
64,2012-03-05,15,45,101,15_45,5,0,2012,3,10,13,66.0,32.0,49.0,-503.8253585386188,8.0,35.0,16.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.17,29.92,8.9,24.0,11.8,"['SN', 'BR']",0,0
65,2012-03-06,15,45,136,15_45,6,1,2012,3,10,13,70.0,39.0,55.0,-503.8253585386188,7.0,36.0,10.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.85,29.49,14.1,21.0,15.9,"['SN', 'BR']",0,0
66,2012-03-07,15,45,95,15_45,7,2,2012,3,10,13,49.0,26.0,38.0,-503.8253585386188,25.0,28.0,27.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,24.13,29.91,5.7,2.0,6.8,"['FZ', 'RA', 'FZ', 'DZ', 'SN', 'BR']",0,1
67,2012-03-08,15,45,86,15_45,8,3,2012,3,10,13,45.0,22.0,34.0,-503.8253585386188,13.0,25.0,31.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,24.55,30.5,1.1,9.0,4.1,['SN'],0,0
68,2012-03-09,15,45,99,15_45,9,4,2012,3,10,13,58.0,24.0,41.0,-503.8253585386188,6.0,29.0,24.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.45,30.36,7.3,17.0,8.1,"['SN', 'BR']",0,0
69,2012-03-10,15,45,142,15_45,10,5,2012,3,10,13,62.0,33.0,48.0,-503.8253585386188,22.0,37.0,17.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.16,29.93,15.0,16.0,15.2,"['SN', 'BR']",0,0
70,2012-03-11,15,45,165,15_45,11,6,2012,3,10,13,62.0,34.0,48.0,-503.8253585386188,22.0,37.0,17.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.96,29.66,7.6,30.0,10.4,"['SN', 'BR']",0,0
71,2012-03-12,15,45,93,15_45,12,0,2012,3,11,13,66.0,45.0,56.0,-503.8253585386188,11.0,37.0,9.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.13,29.8,4.9,21.0,9.5,"['SN', 'BR']",0,0
72,2012-03-13,15,45,108,15_45,13,1,2012,3,11,13,72.0,35.0,54.0,-503.8253585386188,7.0,36.0,11.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.11,29.81,8.9,21.0,11.1,"['SN', 'BR']",0,0
73,2012-03-14,15,45,87,15_45,14,2,2012,3,11,13,71.0,36.0,54.0,-503.8253585386188,4.0,35.0,11.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.19,29.88,7.3,20.0,8.8,"['SN', 'BR']",0,0
74,2012-03-15,15,45,82,15_45,15,3,2012,3,11,13,69.0,35.0,52.0,-503.8253585386188,13.0,37.0,13.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.26,29.99,6.7,18.0,7.8,"['SN', 'BR']",0,0
75,2012-03-16,15,45,112,15_45,16,4,2012,3,11,13,73.0,40.0,57.0,-503.8253585386188,17.0,39.0,8.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.09,29.77,1.8,21.0,6.4,"['SN', 'BR']",0,0
76,2012-03-17,15,45,163,15_45,17,5,2012,3,11,13,72.0,40.0,56.0,-503.8253585386188,9.0,38.0,9.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.94,29.57,12.0,19.0,13.6,"['SN', 'BR']",0,0
77,2012-03-18,15,45,185,15_45,18,6,2012,3,11,13,66.0,40.0,53.0,-503.8253585386188,15.0,38.0,12.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.77,29.36,20.1,20.0,21.7,"['SN', 'BR']",0,0
78,2012-03-19,15,45,106,15_45,19,0,2012,3,12,13,50.0,29.0,40.0,-503.8253585386188,3.0,27.0,25.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.82,29.52,4.7,30.0,9.4,"['SN', 'BR']",0,0
79,2012-03-20,15,45,99,15_45,20,1,2012,3,12,13,48.0,26.0,37.0,-503.8253585386188,12.0,27.0,28.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.14,29.95,5.7,1.0,8.2,"['SN', 'BR']",0,0
80,2012-03-21,15,45,76,15_45,21,2,2012,3,12,13,60.0,22.0,41.0,-503.8253585386188,14.0,31.0,24.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.19,29.99,5.3,1.0,7.4,"['SN', 'BR']",0,0
81,2012-03-22,15,45,97,15_45,22,3,2012,3,12,13,64.0,33.0,49.0,-503.8253585386188,21.0,36.0,16.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.17,29.92,2.6,36.0,6.9,"['SN', 'BR']",0,0
82,2012-03-23,15,45,123,15_45,23,4,2012,3,12,13,75.0,33.0,54.0,-503.8253585386188,19.0,40.0,11.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.19,29.9,7.5,15.0,9.2,"['SN', 'BR']",0,0
83,2012-03-24,15,45,142,15_45,24,5,2012,3,12,13,70.0,38.0,54.0,-503.8253585386188,25.0,42.0,11.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.29,29.98,4.0,9.0,6.7,"['SN', 'BR']",0,0
84,2012-03-25,15,45,160,15_45,25,6,2012,3,12,13,76.0,37.0,57.0,-503.8253585386188,33.0,44.0,8.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.2,29.92,2.1,21.0,5.7,"['SN', 'BR']",0,0
85,2012-03-26,15,45,120,15_45,26,0,2012,3,13,13,77.0,48.0,63.0,-503.8253585386188,16.0,43.0,2.0,0.0,-1000,-1000,-201.7534540748467,0.0,23.98,29.59,18.5,22.0,21.0,"['SN', 'BR']",0,0
86,2012-03-27,15,45,92,15_45,27,1,2012,3,13,13,70.0,37.0,54.0,-503.8253585386188,16.0,38.0,11.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.18,29.86,2.8,10.0,8.7,"['SN', 'BR']",0,0
87,2012-03-28,15,45,71,15_45,28,2,2012,3,13,13,74.0,37.0,56.0,-503.8253585386188,19.0,40.0,9.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.13,29.83,5.0,21.0,6.4,"['SN', 'BR']",0,0
88,2012-03-29,15,45,78,15_45,29,3,2012,3,13,13,69.0,43.0,56.0,-503.8253585386188,18.0,40.0,9.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.12,29.79,1.2,19.0,6.8,"['SN', 'BR']",0,0
89,2012-03-30,15,45,119,15_45,30,4,2012,3,13,13,74.0,39.0,57.0,-503.8253585386188,20.0,41.0,8.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.13,29.79,2.7,16.0,4.7,"['SN', 'BR']",0,0
90,2012-03-31,15,45,158,15_45,31,5,2012,3,13,13,80.0,42.0,61.0,-503.8253585386188,24.0,44.0,4.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.05,29.68,8.9,17.0,10.4,"['SN', 'BR']",0,0
91,2012-04-01,15,45,194,15_45,1,6,2012,4,13,13,81.0,49.0,51.76983349657199,-503.8253585386188,12.0,43.0,15.385896180215475,2.1557296767874634,-1000,-1000,-201.7534540748467,0.0,23.8,29.34,14.1,21.0,15.3,"['SN', 'BR']",0,0
92,2012-04-02,15,45,101,15_45,2,0,2012,4,14,13,58.0,32.0,51.76983349657199,-503.8253585386188,29.0,35.0,15.385896180215475,2.1557296767874634,-1000,-1000,-201.7534540748467,0.05,24.17,29.87,19.4,36.0,19.8,"['SN', 'BR']",0,0
93,2012-04-03,15,45,95,15_45,3,1,2012,4,14,13,32.0,29.0,31.0,-503.8253585386188,30.0,31.0,34.0,0.0,-1000,-1000,-201.7534540748467,0.6,24.3,30.21,12.0,34.0,13.3,"['SN', 'FZ', 'FG', 'BR']",0,0
94,2012-04-04,15,45,89,15_45,4,2,2012,4,14,13,58.0,32.0,45.0,-503.8253585386188,34.0,39.0,20.0,0.0,-1000,-1000,-201.7534540748467,0.054049008168028,24.13,29.95,2.1,18.0,5.0,['SN'],0,0
95,2012-04-05,15,45,69,15_45,5,3,2012,4,14,13,69.0,34.0,52.0,-503.8253585386188,34.0,44.0,13.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.08,29.78,12.7,16.0,13.3,"['SN', 'BR']",0,0
96,2012-04-06,15,45,140,15_45,6,4,2012,4,14,13,73.0,38.0,56.0,-503.8253585386188,14.0,41.0,9.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.03,29.66,15.5,22.0,18.8,"['SN', 'BR']",0,0
97,2012-04-07,15,45,163,15_45,7,5,2012,4,14,13,60.0,29.0,45.0,-503.8253585386188,17.0,34.0,20.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.41,30.2,9.9,14.0,13.5,"['SN', 'BR']",0,0
98,2012-04-08,15,45,117,15_45,8,6,2012,4,14,13,69.0,30.0,50.0,-503.8253585386188,15.0,38.0,15.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.39,30.16,6.2,14.0,7.9,"['SN', 'BR']",0,0
99,2012-04-09,15,45,109,15_45,9,0,2012,4,15,13,69.0,35.0,52.0,-503.8253585386188,24.0,39.0,13.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.34,30.09,1.2,8.0,6.9,"['SN', 'BR']",0,0
100,2012-04-10,15,45,104,15_45,10,1,2012,4,15,13,76.0,39.0,58.0,-503.8253585386188,36.0,47.0,7.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.26,29.96,4.9,16.0,7.8,"['SN', 'BR']",0,0
101,2012-04-11,15,45,73,15_45,11,2,2012,4,15,13,70.0,44.0,57.0,-503.8253585386188,45.0,49.0,8.0,0.0,-1000,-1000,-201.7534540748467,0.2,24.18,29.85,8.5,17.0,12.3,"['TS', 'TS', 'RA', 'BR', 'HZ']",1,0
102,2012-04-12,15,45,71,15_45,12,3,2012,4,15,13,63.0,40.0,52.0,-503.8253585386188,37.0,45.0,13.0,0.0,-1000,-1000,-201.7534540748467,0.06,23.97,29.63,1.3,7.0,7.7,"['TS', 'RA', 'RA']",1,0
103,2012-04-13,15,45,141,15_45,13,4,2012,4,15,13,62.0,36.0,49.0,-503.8253585386188,21.0,38.0,16.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.0,29.69,2.4,20.0,9.4,"['SN', 'BR']",0,0
104,2012-04-14,15,45,157,15_45,14,5,2012,4,15,13,61.0,32.0,47.0,-503.8253585386188,29.0,38.0,18.0,0.0,-1000,-1000,-201.7534540748467,0.25,23.83,29.51,3.5,34.0,7.3,"['RA', 'SN', 'BR']",0,0
105,2012-04-15,15,45,152,15_45,15,6,2012,4,15,13,50.0,32.0,41.0,-503.8253585386188,31.0,36.0,24.0,0.0,-1000,-1000,-201.7534540748467,0.04,24.05,29.78,10.2,34.0,13.2,"['RA', 'BR']",0,0
106,2012-04-16,15,45,95,15_45,16,0,2012,4,16,13,57.0,33.0,45.0,-503.8253585386188,24.0,36.0,20.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.29,30.1,3.5,23.0,6.4,"['SN', 'BR']",0,0
107,2012-04-17,15,45,107,15_45,17,1,2012,4,16,13,67.0,36.0,52.0,-503.8253585386188,23.0,40.0,13.0,0.0,-1000,-1000,-201.7534540748467,0.0,24.29,30.05,1.4,17.0,5.8,"['SN', 'BR']",0,0
